population,pc,pm,sel,cros,ss,best_fit,final_diversity,final_exploration,final_exploitation,runtime
200,0.95,0.025,tournament,uniform,False,-0.5833015051675148,0.6441843766861702,29.38991273260838,70.61008726739162,391.7828994001029
200,0.75,0.025,tournament,uniform,False,-0.584205048349352,0.671704278953769,30.829126220301383,69.17087377969861,378.9975408001337
200,0.95,0.05,tournament,uniform,False,-0.5850069070881865,1.0986211522047018,50.27950800413738,49.72049199586262,404.8247099998407
200,0.95,0.025,tournament,uniform,False,-0.5855444034311217,0.6193141228252395,28.636137881939867,71.36386211806013,390.9348028003005
200,0.75,0.05,tournament,uniform,False,-0.5869399192661795,1.0774235456327963,49.84291319482042,50.15708680517958,387.2563370001735
200,0.95,0.05,tournament,uniform,False,-0.5875385724147649,1.1019419953271952,50.84435705316681,49.15564294683319,405.9160348001169
200,0.75,0.05,tournament,uniform,False,-0.5878375319014317,0.1239448316849249,5.678787985459922,94.32121201454008,398.5938732997747
200,0.75,0.05,tournament,uniform,False,-0.5880109147800423,1.0238681413354926,47.08286791497495,52.91713208502505,390.1290972999996
200,0.95,0.25,tournament,uniform,False,-0.5880628309673686,0.0911729662504469,4.190132448086176,95.80986755191384,386.7188724000007
200,0.75,0.25,tournament,uniform,False,-0.5881505237583726,0.047178750525992,2.161947096095203,97.8380529039048,396.6302054001717
200,0.75,0.025,tournament,multi_points,False,-0.5885514810251133,0.49987958142825,23.02029249529667,76.97970750470333,382.8089325998444
200,0.75,0.05,tournament,one_point,False,-0.5888854790640629,0.9492307768634064,43.8371366289798,56.1628633710202,381.843078900245
200,0.95,0.05,tournament,uniform,False,-0.5890780788739045,0.1217427604800737,5.592539554100365,94.40746044589964,387.920165399788
200,0.95,0.025,tournament,uniform,False,-0.5891995871199907,0.0587443145631664,2.71903271452262,97.28096728547736,406.02719499974046
200,0.95,0.05,tournament,uniform,False,-0.5892041176795026,0.0407889331212,1.8724971178229917,98.127502882177,400.5868651001947
200,0.75,0.05,tournament,uniform,False,-0.5892981242711217,0.0648733278238676,2.9964465782935004,97.0035534217065,385.799948599888
